Site,Number
287G OFFICER BARNSTABLE COUNTY,1
"62A DISTRICT COURT PROBATION, WYOMING, MI",1
ABINGTON POLICE DEPARTMENT,12
ALTERNATIVES TO DETENTION,7
AMESBURY DISTRICT COURT,1
ATD MA STATE,1195
"ATLANTA, GA",1
ATTELBORO POLICE DEPT,2
ATTLEBORO DISTRICT COURT,4
"AUS GENERAL AREA, NON-SPECIFIC",3
AYER DISTRICT COURT,7
BALCH SPRINGS POLICE DEPARTMENT,1
BALTIMORE CITY MD,1
BARNSTABLE COUNTY HOC,4
BARNSTABLE COUNTY LOCAL POLICE DEPT,1
BARNSTABLE DISTRICT COURT,4
BERKSHIRE COUNTY HOC,3
BERKSHIRE COUNTY LOCAL POLICE DEPT,1
"BOI GENERAL AREA, NON-SPECIFIC",16
BONNEVILLE COUNTY MISDEMEANOR PROBATION OFFICE ID,1
"BOS GENERAL AREA, NON-SPECIFIC",6
BOSTON DISTRICT COURT BRIGHTON,3
BOSTON DISTRICT COURT DOWNTOWN BOSTON,6
BOSTON DISTRICT COURT EAST BOSTON,8
BOSTON DISTRICT COURT ROXBURY,9
"BOSTON ICE OFFICE - JFK FEDERAL BLDG, BOSTON",34
BOSTON LOGAN AIRPORT,36
BOSTON MUNICIPAL COURT,5
"BOSTON PD BACKBAY, SOUTH END, FENWAY, BRIGHTON",6
"BOSTON PD DORCHESTER, SOUTH BOSTON",3
"BOSTON PD DOWNTOWN,CHINA TOWN, CHARLESTOWN,E.BOS.",15
"BOSTON PD N.DORCHESTER,MATTAPAN,ROXBURY, MISSION HILL",5
"BOSTON PD WEST ROXBURY, ROSLINDALE, HYDE PARK, JP",2
BOSTON POLICE SECURE COMMUNITIES,3
BOSTON SUPERIOR COURT DOWNTOWN,2
BRAINTREE POLICE DEPARTMENT,4
BRIGHTON DISTRICT COURT,1
BRIGHTON POLICE DEPT,1
BRISTOL COUNTY HOC,21
BROCKTON DISTRICT COURT,27
BROCKTON POLICE DEPT,6
BROOKLINE DISTRICT COURT,4
BROOKLINE POLICE DEPT,1
BUFFALO FEDERAL DETENTION FACILITY,4
"CALIFORNIA REHABILITATION CENTER NORCO, CA",1
CAMBRIDGE DISTRICT COURT,6
CAP - DESOTO COUNTY JAIL MS STATE,1
CAP - GREENE COUNTY JAIL AR STATE,1
CAP - MARICOPA COUNTY SHERIFFS OFFICE JAIL,1
CAP - SCOTTSDALE CITY JAIL DISTRICT 1,1
CAP - TIPPAH COUNTY JAIL MS STATE,1
"CARVER COUNTY JAIL, MN",1
CASS COUNTY SHERIFFS OFFICE MISSOURI,1
CHARLESTOWN DISTRICT COURT,2
CHELSEA DISTRICT COURT,51
CHELSEA POLICE DEPT,9
"CHI GENERAL AREA, NON-SPECIFIC",1
"CIP GENERAL AREA, NON-SPECIFIC",3
CLINTON DISTRICT COURT,1
CLINTON POLICE DEPT,1
CONCORD DISTRICT COURT,5
DAL COUNTY JAIL,3
DALLAS COUNTY GENERAL AREA,10
"DEARBORN, MI",1
DEDHAM DISTRICT COURT,5
DENVER COUNTY,1
"DETROIT, MI",3
DO NOT USE,1
"DOC 287G OFFICER, MCI CONCORD",1
DORCHESTER DISTRICT COURT,20
DUDLEY DISTRICT COURT,3
DUTY WINDOW 126 NORTHPOINT,9
EAST BOSTON DISTRICT COURT,16
"EPC GENERAL AREA, NON-SPECIFIC",1
ESSEX COUNTY HOC,175
ESSEX COUNTY LOCAL POLICE DEPT,2
ESSEX DISTRICT COURT,5
"ETW GENERAL AREA, NON-SPECIFIC",1
FALL RIVER DISTRICT COURT,19
FALL RIVER POLICE DEPT,4
FALMOUTH DISTRICT COURT,3
"FCI MANCHESTER, KY",3
FEDERAL MEDICAL CENTER-DEVENS,164
FITCHBURG DISTRICT COURT,5
"FOS GENERAL AREA, NON-SPECIFIC",4
FRAMIGNHAM POLICE DEPT,13
FRAMINGHAM DISTRICT COURT,72
FTM-LEE COUNTY JAIL,2
FUG OPS CT,3
FUGITIVE OPERATIONS CT,9
FUGITIVE OPERATIONS MA,5022
FUGITIVE OPERATIONS MAINE,1
FUGITIVE OPERATIONS ME,2
GLOUCESTER DISTRICT COURT,3
GREENVILLE COUNTY,1
"GRM GENERAL AREA, NON-SPECIFIC",1
"HAMDEN COUNTY HOUSE OF CORRECTIONS, LUDLOW, MA",2
HAMPDEN COUNTY HOC,13
HAMPDEN SUPERIOR COURT,1
HAMPSHIRE COUNTY HOC,2
HAMPSHIRE COUNTY LOCAL POLICE DEPT,1
"HAR GENERAL AREA, NON-SPECIFIC",21
"HARRIS COUNTY JAIL, HOUSTON, TX",1
"HARTFORD, CT",4
HAVERHILL DISTRICT COURT,4
HAVERHILL POLICE DEPT,4
HILLSBOROUGH COUNTY NH,2
HINGHAM DISTRICT COURT,3
HINGHAM POLICE DEPT,2
"HLG GENERAL AREA, NON-SPECIFIC",3
HOLYOKE DISTRICT COURT,2
"HOUSTON, NORTHEAST SIDE",1
JOHNSTON COUNTY JAIL,1
"KENT COUNTY JAIL, GRAND RAPIDS, MI",2
"LAF GENERAL AREA, NON-SPECIFIC",1
LAWRENCE DISTRICT COURT,46
LAWRENCE POLICE DEPT,33
"LEAKE COUNTY CORRECTIONAL FACILITY, MS",2
LEOMINSTER DISTRICT COURT,4
LEOMINSTER POLICE DEPT,2
"LOM GENERAL AREA, NON-SPECIFIC",1
LOWELL DISTRICT COURT,49
LOWELL POLICE DEPT,10
"LRD GENERAL AREA, NON-SPECIFIC",1
"LVG GENERAL AREA, NON-SPECIFIC",1
LYNN DISTRICT COURT,72
LYNN POLICE DEPARTMENT,23
MALDEN DISTRICT COURT,55
MALDEN POLICE DEPT,10
MANCHESTER ICE OFFICE,8
MARLBOROUGH DISTRICT COURT,22
MARLBOROUGH POLICE DEPT,1
MASSACHUSETTS ALCOHOL & TREATMENT CENTER,3
MASSACHUSETTS TREATMENT CENTER,43
MCI CEDAR JUNCTION AT WALPOLE,2
MCI CONCORD,6
MCI FRAMINGHAM,13
MCI NORFOLK,67
MCI SHIRLEY MEDIUM/MAXIMUM,32
MCI SOUZA BARANOWSKI,7
"MDM GENERAL AREA, NON-SPECIFIC",27
"MEM GENERAL AREA, NON-SPECIFIC",1
MEMPHIS ERO OFFICE,1
"MERCER COUNTY, NEW JERSEY",1
MERRIMACK COUNTY DOC,1
MERRIMACK COUNTY NH,1
MIDDLESEX COUNTY HOC,62
MIDDLESEX COUNTY LOCAL PD,8
MIDDLESEX SUPERIOR COURT,12
MILFORD DISTRICT COURT,21
MILFORD POLICE DEPT,14
"MOUNT AIRY, NC",1
"MTG GENERAL AREA, NON-SPECIFIC",2
N DIST TX AMARILLO DIV CARSON CO NON CRIM,1
N DIST TX AMARILLO DIV RANDELL CO P&P AT LARGE,1
NASHUA STREET JAIL,19
NATICK DISTRICT COURT,1
NCCI GARDNER,55
"NDD - 26 FEDERAL PLAZA NY, NY",2
NEW BEDFORD DISTRICT COURT,16
NEW BEDFORD POLICE DEPT,4
NEWBURYPORT DISTRICT COURT,3
NEWTON DISTRICT COURT,8
NEWTON POLICE DEPT,1
NON-DETAINED AND JUVENILE,5919
NORFOLK COUNTY HOC,19
NORFOLK COUNTY LOCAL POLICE DEPARTMENT,1
NORFOLK SUPERIOR COURT,1
NORGEN,1
NORTHAMPTON POLICE DEPT,2
Nueces County Jail,1
OLD COLONY CORRECTIONAL,6
"OLDHAM COUNTY JAIL, KY",1
"ORLEANS PARISH, LA",1
PALMER DISTRICT COURT,1
PEABODY DISTRICT COURT,17
PEABODY POLICE DEPT,9
PLYMOUTH COUNTY HOC,46
PLYMOUTH DISTRICT COURT,7
PLYMOUTH SUPERIOR COURT,2
"POM GENERAL AREA, NON-SPECIFIC",5
PRO FUGOPS,25
QUINCY POLICE DEPARTMENT,15
"RDU GENERAL AREA, NON-SPECIFIC",1
REVERE POLICE DEPT,12
"RICE COUNTY JAIL, MN",1
SARATOGA COUNTY,1
"SCOTT COUNTY, MS",3
"SLC GENERAL AREA, NON-SPECIFIC",2
SNA ANTONIO MAGISTRATE COURT HOLDING FACILITY,1
"SNA GENERAL AREA, NON-SPECIFIC",1
"SPM GENERAL AREA, NON-SPECIFIC",2
"SPR GENERAL AREA, NON-SPECIFIC",2
"SPRINGFIELD, MA POLICE DEPARTMENT",1
"ST. TAMMANY PARISH, LA",1
"STA GENERAL AREA, NON-SPECIFIC",3
SUFFOLK COUNTY LOCAL POLICE DEPARTMENT,2
SUFFOLK COUNTY SO (SOUTH BAY),44
TAM-CYPRESS,3
TAUNTON DISTRICT COURT,2
TAUNTON POLICE DEPT,2
TEWSBURY POLICE DEPT,2
"TRAVIS COUNTY JAIL(DEL VALLE UNIT) DEL VALLE, TEXAS",2
US DISTRICT COURT,188
"USCIS BOSTON, MA",2
UXBRIDGE DISTRICT COURT,1
"VAN BUREN COUNTY JAIL, PAW PAW, MI",1
"VANDERBURGH COUNTY SHERIFF'S OFFICE, EVANSVILLE, IN",1
"VEN GENERAL AREA, NON-SPECIFIC",1
VENTURA FUGITIVE OPERATIONS,2
WAKE COUNTY FUGITIVE OPERATIONS,3
WALTHAM DISTRICT COURT,43
WALTHAM POLICE DEPT,9
WAREHAM DISTRICT COURT,3
"WASHINGTON COUNTY JAIL, MN",1
WEST ROXBURY DISTRICT COURT,1
WESTBOROUGH DISTRICT COURT,12
WEYMOUTH POLICE DEPARTMENT,2
WOBURN DISTRICT COURT,40
WOBURN POLICE DEPT,1
WORCESTER COUNTY HOC,31
WORCESTER DISTRICT COURT,34
WORCESTER POLICE DEPT,4
WRENTHAM DISTRICT COURT,1
WRENTHAM POLICE DEPT,5
YAZOO CITY FCI,6
