Site	Number
ABINGTON POLICE DEPARTMENT	26
ACTON POLICE DEPT	5
AGAWAM POLICE DEPART	1
ASH ST JAIL BRISTOL CO	38
ASHLAND POLICE DEPT	5
ATTLEBORO DISTRICT COURT	1
ATTLEBORO POLICE DEPT	6
AUBURN POLICE DEPT	8
AYER DISTRICT COURT	1
AYER POLICE DEPT	2
BARNSTABLE COUNTY	18
Barnstable Police	8
BEDFORD POLICE DEPT	2
BELLINGHAM POLICE DEPT	5
BERKSHIRE CNTY PITTSFIELD	11
BILLERICA POLICE DEPT	7
BOS POL DEPT D4 BACK BAY	5
BOS POL DST B2 ROXBURY	4
BOST PRERELEASE DORCHESTE	2
BOSTON HOLDROOM	2
BOSTON MNCPL CT CTRL DIV	17
BOSTON POLICE DEPT	45
"BOSTON POLICE DEPT, DISTRICT #3"	39
BOSTON SPC	6
BRAINTREE POLICE DEPT	6
BRIGHTON DIV BOSTON MC	6
BRISTOL CNTY NDARTMOUTH	15
BRISTOL CO SHERIFF'S OFC	17
"BRISTOL CTY, NEW BEDFORD"	12
BROCKTON DISTRICT COURT	16
BROCKTON POLICE DEPARTMENT	18
BROOKLINE POLICE DEPT.	11
BURLINGTON POLICE DEPT	3
BWATER ST HOSP BRIDGEWATE	3
CAMBRIDGE DISTRICT CT	4
CAMBRIDGE POLICE DEPT	12
CHELMSFORD POLICE DEPT	6
CHELSEA DISTRICT COURT	32
CHELSEA POLICE DEPT	48
CHICOPEE POL DEPT	4
CLINTON POLICE DEPARTMENT	2
CONCORD DISTRICT CT	3
CONCORD POLICE DEPT	3
DANVERS POLICE DEPARTMENT	12
DEDHAM DISTRICT COURT	6
DEDHAM POLICE DEPT	1
DENNIS POLICE DEPARTMENT	3
DEVENS FMC	9
DEVEREUX ADV BHV HLT MASS NEW BEG	1
DOC - MILFORD MA	7
DORCHESTER DISTRICT COURT	26
DRACUT POLICE DEPARTMENT	1
DUDLEY DISTRICT COURT	11
DUKES COUNTY JAIL	26
DUNSTABLE POLICE DEPT	1
EAST BOSTON DIV MNCP CRT	16
EAST HAMPSHIRE DISTRICT COURT	5
"ESSEX CO. JAIL, MIDDLETON"	146
EVERETT PD HQ	56
FALL RIVER DISTRICT COURT	16
FALL RIVER POLICE DEPARTMENT	31
FALMOUTH POL DEPT	7
FITCHBURG POLICE DEPT	17
FOXBOROUGH POL DEPT	14
FRAMINGHAM DISTRICT CT	24
FRAMINGHAM POLICE DEPT	46
FRANKLIN HOUSE OF CORRECTIONS	3
GLOUCESTER DIST COURT	4
GREAT BARRINGTON POLICE	3
GREENFIELD DISTRICT COURT	1
HAMPDEN CO.HOUSE OF CORR.	33
HAMPSHR CNTY NORTHAMPTON	11
Haverhill PD	21
HINGHAM DISTRICT COURT	4
HOLLISTON POLICE DEPT	4
HOLYOKE PD	2
HOPEDALE PD	3
HOPKINTON POLICE DEPT	1
HUDSON POLICE DEPT	7
LANCASTER HOC	1
LAWRENCE DISTRICT COURT	18
LAWRENCE POLICE DEPT	53
LEOMINSTER DISTRICT COURT	1
LEOMINSTER POLICE DEPT	8
LEXINGTON POLICE DEPT	1
LITTLETON POLICE DEPT	1
LOWELL DISTRICT COURT	30
LOWELL POLICE DEPARTMENT	61
LYNN DISTRICT COURT	36
LYNN POLICE DEPT	97
MA ALCOHOL SUB-ABUSE CTR	1
MA SP MEDFORD BARRACKS	8
MA ST POL A1 ANDOVER	22
MA ST POL A5 REVERE	31
MA ST POL B8 WESTFIELD	3
MA ST POL C4 LEOMINSTER	9
MA STATE POL BRIGHTON	1
MA STATE POL H-9 TUNNELS	6
MA STATE POLICE - A3 CONCORD BARRA	5
MA STATE POLICE LOGAN BRKS TROOP F	4
MALDEN DISTRICT COURT	26
MALDEN POLICE DEPT	18
MANSFIELD POLICE DEPT	2
MARLBOROUGH DISTRICT CT	11
MARLBOROUGH POLICE DEPT	37
MASS SP C5 STURBRIDGE	6
MASS SP DANVERS A6	11
MASS SP H7 MILTON	5
MASS SP MILLBURY BARRACKS	15
MASS ST POL C2 MILLBURY	5
MASSACHUSETTS STATE POLICE	15
"MASSACHUSETTS STATE POLICE, LEE"	8
MASSACHUSETTS TREATMENT CENTER	4
MAYNARD POLICE DEPT	2
MBTA TRANSIT PD	7
MCI CEDAR JUNCTION	1
MCI NORFOLK	8
MCI SHIRLEY	3
