Site,Number
ABINGTON,45
ACTON,7
ANDOVER,50
ARLINGTON,4
ASHBY,1
ASHLAND,15
ATTLEBORO,35
AUBURN,21
AYER,170
BARNSTABLE,103
BEDFORD,7
BELCHERTOWN,6
BELLINGHAM,12
BELMONT,3
BEVERLY,2
BILLERICA,222
BOLTON,2
BOSTON,1468
BOXBOROUGH,1
BRAINTREE,24
BRIDGEWATER,41
BRIGHTON,8
BROCKTON,111
BROOKLINE,30
BURLINGTON,3
BURPDMA,5
CAMBRIDGE,96
CHARLTON,8
CHELMSFORD,15
CHELSEA,321
CHICOPEE,13
CLINTON,16
CONCORD,33
DANVERS,24
DEDHAM,174
DORCHESTER,161
DRACUT,6
DUDLEY,27
DUNSTABLE,1
EAST BOSTON,109
EDGARTOWN,92
EVERETT,150
FALL RIVER,220
FALMOUTH,16
FEEDING HILLS,2
FITCHBURG,37
FOXBOROUGH,17
FRAMINGHAM,368
GARDNER,59
GLOUCESTER,12
GREAT BARRINGTON,8
GREENFIELD,12
HINGHAM,10
HOLLISTON,6
HOLYOKE,12
HOPEDALE,3
HOPKINTON,8
HUDSON,25
HYANNIS,22
Haverhill,58
JAMAICA PLAIN,25
LANCASTER,2
LAWRENCE,367
LEE,10
LEOMINSTER,55
LEXINGTON,2
LITTLETON,1
LOWELL,312
LUDLOW,123
LYNN,475
MALDEN,196
MANSFIELD,10
MARLBOROUGH,155
MAYNARD,4
MEDFORD,74
MELROSE,3
MENDON,5
METHUEN,43
MIDDLEBOROUGH,29
MIDDLETON,677
MILFORD,149
MILLBURY,43
MILTON,15
NANTUCKET,75
NATICK,29
NEEDHAM,1
NEW BEDFORD,198
NEWBURY,9
NEWBURYPORT,12
NEWTON,41
NORFOLK,74
NORTH ANDOVER,7
NORTH ATTLEBORO,8
NORTH BILLERICA,172
NORTH DARTMOUTH,142
NORTHBOROUGH,9
NORTHHAMPTON,32
NORWOOD,30
OAK BLUFFS,10
PALMER,1
PEABODY,118
PITTSFIELD,47
PLYMOUTH,251
PROVINCETOWN,9
QUINCY,151
RANDOLPH,9
REAPDMA,1
REVERE,128
ROCKLAND,5
ROXBURY,76
RUTLAND,2
SALEM,72
SANDWICH,2
SAUGAS,17
SHERBORN,4
SHIRLEY,450
SHREWSBURY,15
SOMERVILLE,50
SOUTH CARVER,1
SOUTH DENNIS,5
SOUTH WALPOLE,2
SOUTHBOROUGH,19
SPRINGFIELD,130
STONEHAM,3
STOUGHTON,33
STURBRIDGE,49
SUDBURY,6
TAUNTON,13
TEWKSBURY,12
TYNGSBOROUGH,1
WAKEFIELD,2
WALTHAM,209
WATERTOWN,29
WAYLAND,4
WELLESLEY,6
WEST BOYLSTON,142
WEST YARMOUTH,14
WESTBOROUGH,38
WESTFIELD,6
WESTFORD,5
WESTON,19
WEYMOUTH,30
WILMINGTON,7
WINCHESTER,1
WINTHROP,9
WOBURN,52
WORCESTER,430
